Player,Pos,Squad,Comp,Age,MP,pca_pass_x,pca_pass_y,pass cluster,pca_chances_x,pca_chances_y,chances cluster,pca_misc_x,pca_misc_y,misc cluster
Aaron Connolly,FW,Brighton,eng Premier League,20,17,-53.19121979326117,29.576074848007877,1,10.411847789539104,0.05605848739529381,0,-116.59097807098935,-33.63859919786469,0
Aaron Cresswell,DF,West Ham,eng Premier League,30,36,14.870682782658267,-14.281213241577069,2,-3.3087310396461613,0.7955078873927549,0,-30.373280121719823,8.354184790191708,2
Aarón Escandell,GK,Granada,es La Liga,24,5,-41.19138160950886,-32.85520940415635,0,-24.458059505387574,-1.5053252772151255,1,-97.13226543781937,43.10259526897592,0
Aaron Hickey,DF,Bologna,it Serie A,18,11,5.333975768067901,-14.407332589404676,2,8.849961093077138,-1.359440465452085,0,54.6674943688047,0.913427123274671,2
Aaron Leya Iseka,FW,Metz,fr Ligue 1,22,21,-40.482626698706724,30.486950746262206,1,8.897791621008517,0.1292691466825899,0,-118.75484432887849,-15.168280357807921,0
Aarón Martín,DF,Mainz 05,de Bundesliga,23,5,9.927974306598738,5.534233426353905,2,-24.438938008305726,-0.6525703948409425,1,-24.74266387042505,-23.148220918906805,2
Aarón Martín,DF,Celta Vigo,es La Liga,23,19,11.115736737766433,-8.341181923268183,2,-7.729191041859912,-0.16333172200746457,1,-24.281534360679967,-13.046211672240299,2
Aaron Ramsdale,GK,Sheffield Utd,eng Premier League,22,38,-41.31929439991057,-31.873549439790395,0,-24.454669324738347,-1.3142111415630675,1,-102.43810040981231,-53.118616983033924,0
Aaron Ramsey,MF,Juventus,it Serie A,29,22,38.26595239825013,15.689450260597521,3,19.154068586492013,2.8151316686994687,0,95.56161085335111,-8.14781428937816,2
Aaron Wan-Bissaka,DF,Manchester Utd,eng Premier League,22,34,27.9876650757183,-6.363789648006723,2,25.55963373915864,-0.9759108356150062,0,72.77438280787398,-4.136012005647938,2
Abdallahi Mahmoud,MF,Alavés,es La Liga,20,2,-40.968555472141986,2.8471567481076034,1,-24.43489240194599,-0.20189667001328704,1,-158.99477898164702,41.39179343733071,0
Abdou Diallo,DF,Paris S-G,fr Ligue 1,24,22,55.64328696373609,-0.8281548829257116,3,-24.447508505188598,-1.0713632278458007,1,133.39386925415198,3.897271927098292,1
Abdoul Kader Bamba,"FW,MF",Nantes,fr Ligue 1,26,29,9.099663223815307,13.456207118978343,2,18.530241460576125,1.915321756177944,0,62.284047306571544,-6.7038871309864705,2
Abdoulay Diaby,MF,Getafe,es La Liga,29,1,17.475681329574268,21.25808242564251,2,-24.180274704507557,10.4993851342188,1,474.03800042752425,100.50098796822154,1
Abdoulaye Bamba,DF,Angers,fr Ligue 1,30,16,15.537506312083947,-9.084501591770893,2,75.52626936493131,-2.5033433466983936,2,-49.55780364111797,5.149500161456254,0
Abdoulaye Doucouré,MF,Everton,eng Premier League,27,29,11.614565492865234,-4.730937478251523,2,3.3730801906431243,-0.4578556789797757,0,0.8705613895270409,-9.467678488619176,2
Abdoulaye Sidibé,MF,Saint-Étienne,fr Ligue 1,18,1,-58.14090196448848,49.89217224190295,1,-24.458059505387574,-1.5053252772151255,1,-61.64495812575323,49.90006190632209,0
Abdoulaye Sylla,DF,Nantes,fr Ligue 1,20,2,-29.099111649724282,4.712856117964725,1,-24.458059505387574,-1.5053252772151255,1,-35.910179127404575,51.90679874909956,0
Abdoulaye Touré,MF,Nantes,fr Ligue 1,26,29,16.586507442214792,-3.1440525461934743,2,-9.000841965574324,0.6345610418341235,1,-10.26381955001183,-3.2032019342580433,2
Abdul Majeed Waris,"FW,MF",Strasbourg,fr Ligue 1,28,15,-29.745538188575843,14.360136749116046,1,-2.221049425098934,-0.5245309308901761,0,-20.004667881682266,0.5504903079366077,2
Aboubakar Kamara,"FW,MF",Dijon,fr Ligue 1,25,10,-17.684420227253398,20.98062538146034,1,2.9171175498520765,1.1980195682028647,0,-47.696390066738125,-10.08329044951465,0
Aboubakar Kamara,"FW,DF",Fulham,eng Premier League,25,11,-19.93976264452268,12.269739541088684,1,25.60021203709098,0.6647826137342051,0,-16.60599601217583,2.630597462446355,2
Achraf Hakimi,DF,Inter,it Serie A,21,37,16.750007206965073,2.0321378002548567,2,15.104542775135455,0.5586285810232577,0,69.10718050493692,5.406571429318284,2
Adam Lallana,"MF,FW",Brighton,eng Premier League,32,30,19.98268801416225,6.219501052369192,2,-6.193799452075423,1.0873049911581325,1,29.422658882880487,-9.383169645651732,2
Adam Marušić,DF,Lazio,it Serie A,27,36,8.955635459417651,-5.357744721472073,2,19.97413162411358,-0.5413005760679337,0,51.99635612387142,5.547573356037766,2
Adam Ounas,"MF,FW",Cagliari,it Serie A,23,7,-9.775709524607583,6.134923796396364,2,-24.362706748869382,2.7449067108209597,1,29.246236029782768,-18.81517776480727,2
Adam Ounas,"FW,MF",Crotone,it Serie A,23,15,-5.59045586795087,7.967008989020756,2,15.630468216975313,1.5057508265009514,0,98.62907547268661,-5.06115929337827,2
Ádám Szalai,FW,Mainz 05,de Bundesliga,32,18,-32.04220511945557,42.50485054601531,1,15.594211483575867,-0.28795924173996235,0,-130.18579948785924,-20.198963602445456,0
Adam Webster,DF,Brighton,eng Premier League,25,29,32.859238430196996,-6.56853891967052,2,0.5610401995939442,-1.11985291482206,0,202.6964883224208,5.066004556716699,1
Adama Soumaoro,DF,Lille,fr Ligue 1,28,3,63.56747652546685,-1.1761800027567206,3,-24.42708924691018,-0.4695801063801025,1,13.814405728813878,47.31898803368913,2
